,hcf,msgpack,json
0,0.007531166076660156,1.0439460277557373,8.55705189704895
1,0.0004851818084716797,1.0466928482055664,8.214434146881104
2,0.00031280517578125,1.0433931350708008,8.345929861068726
3,0.0003008842468261719,1.0252470970153809,8.355055093765259
4,0.00032901763916015625,1.0481858253479004,8.346628904342651
5,0.0003352165222167969,1.0676541328430176,8.499951124191284
6,0.0003077983856201172,1.0536141395568848,8.203309774398804
7,0.0003249645233154297,1.0478968620300293,8.360883235931396
8,0.0002980232238769531,0.8772659301757812,8.388197183609009
9,0.0002830028533935547,1.012937068939209,8.318112850189209
